customer_id,first_name,surname,age,sex,ethnicity,region_key,postcode_area,prior_sector,uc_months_at_start,barriers,barriers_count,disability_or_health,digital_skills,preferred_channel,adviser_id,referred_date
CUS-00015,Kai,Knight,27,M,White British,south-yorkshire,WF1,Warehouse / logistics,10,Confidence;Mental health,2,false,High,sms,ADV-0009,2026-01-26
CUS-00016,Jamal,Akin,25,M,Other White,derbyshire-notts,S81,Care / health,11,Housing instability,1,false,Medium,call,ADV-0213,2025-11-13
CUS-00017,Bibi,Hussain,42,F,White British,derbyshire-notts,NG7,Hospitality,10,Mental health,1,false,Medium,push,ADV-0170,2026-03-18
CUS-00018,Jamal,Carter,56,M,White British,south-east-london,E3,Retail,19,Housing instability,1,false,Medium,email,ADV-0119,2026-01-22
CUS-00019,Aiden,Bailey,41,M,White British,south-yorkshire,DN1,Driving,30,,0,false,High,sms,ADV-0179,2025-09-10
CUS-00020,Reece,Brown,44,M,Other,wales,LL11,Retail,55,Confidence,1,false,Medium,sms,ADV-0026,2025-12-16
CUS-00021,Joy,Ahmed,55,F,Asian Bangladeshi,south-east-london,E6,Warehouse / logistics,27,Digital skills;Criminal record;Confidence;Caring responsibilities,4,false,Low,sms,ADV-0085,2026-01-16
CUS-00022,Kai,Begum,47,M,White British,south-yorkshire,DN4,Construction,31,,0,false,Medium,push,ADV-0118,2025-11-22
CUS-00023,Leah,Davies,48,F,Black African,derbyshire-notts,NG18,Construction,35,,0,false,High,push,ADV-0121,2026-02-20
CUS-00024,Sean,Knight,29,M,Black African,derbyshire-notts,NG1,Warehouse / logistics,45,Digital skills,1,false,High,push,ADV-0201,2026-04-13
CUS-00025,Sarah,Ahmed,43,F,White British,wales,NP20,Admin / office,22,Caring responsibilities,1,false,Medium,sms,ADV-0161,2026-03-18
CUS-00026,Joy,Hollis,57,F,Other White,wales,NP19,Warehouse / logistics,12,English language,1,false,Medium,sms,ADV-0105,2025-09-27
CUS-00027,Tia,Lewis,50,F,Mixed,derbyshire-notts,DE22,Hospitality,23,Physical health;Transport cost;Caring responsibilities,3,true,Low,push,ADV-0152,2026-01-28
CUS-00028,Kwame,Adekoya,53,M,Other White,south-east-london,SE15,Care / health,45,Criminal record;Physical health,2,true,Medium,email,ADV-0198,2025-11-18
CUS-00029,Folake,Roberts,39,F,Black African,south-east-london,SE1,Admin / office,40,,0,false,Medium,push,ADV-0205,2025-10-19
CUS-00030,Jamal,Khan,39,M,Other White,south-yorkshire,WF1,Care / health,15,Mental health;Criminal record;Housing instability,3,true,High,sms,ADV-0009,2026-03-13
CUS-00031,Aaron,Mensah,28,M,White British,derbyshire-notts,NG18,Care / health,14,Criminal record,1,false,High,email,ADV-0213,2026-04-05
CUS-00032,Bilal,Hussain,35,M,Asian Indian,north-london,N1,Care / health,13,,0,false,Medium,sms,ADV-0053,2026-04-24
CUS-00033,Nasir,Akin,44,M,White British,wales,LL57,Construction,35,Childcare cost;Confidence;Caring responsibilities,3,true,Medium,call,ADV-0045,2025-09-12
CUS-00034,Sean,Mensah,25,M,Other,north-london,N1,Retail,29,Childcare cost;Mental health,2,false,Medium,sms,ADV-0234,2025-09-15
CUS-00035,Kelly,Okafor,46,F,Other,north-london,NW1,Care / health,13,,0,true,Medium,email,ADV-0035,2025-12-31
CUS-00036,Junior,Singh,61,M,Black African,south-east-london,E13,Retail,21,Transport cost,1,false,Medium,sms,ADV-0246,2026-02-17
CUS-00037,Damian,Khan,39,M,Black Caribbean,south-east-london,SE10,Manufacturing,27,Digital skills;Physical health,2,false,High,email,ADV-0086,2026-03-25
CUS-00038,Tyrese,Taylor,25,M,White British,derbyshire-notts,NG1,Care / health,23,Confidence,1,false,Low,sms,ADV-0134,2025-12-13
CUS-00039,Daniel,Adekoya,55,M,White British,south-east-london,E15,Retail,27,English language;Physical health;Confidence;Digital skills,4,false,Medium,call,ADV-0003,2026-04-03
CUS-00040,Femi,Taylor,37,M,Mixed,wales,NP19,Warehouse / logistics,12,Confidence,1,false,Medium,call,ADV-0227,2026-03-03
CUS-00041,Aiden,Mensah,42,M,White British,south-yorkshire,DN1,Hospitality,31,Caring responsibilities;Mental health;Housing instability,3,false,High,push,ADV-0074,2026-04-10
CUS-00042,Joel,Taylor,46,M,White British,derbyshire-notts,NG1,Cleaning / facilities,26,Mental health;Confidence;Housing instability;English language,4,false,Medium,sms,ADV-0091,2025-09-02
CUS-00043,Sean,Murphy,23,M,White British,wales,NP20,Warehouse / logistics,14,Childcare cost;Mental health;Physical health,3,false,Medium,push,ADV-0105,2025-09-16
CUS-00044,Damian,Bailey,41,M,White British,south-east-london,SE10,Warehouse / logistics,48,Physical health,1,true,Medium,sms,ADV-0010,2026-04-17
CUS-00045,Yvonne,Roberts,33,Other,White British,north-london,N17,Warehouse / logistics,23,Physical health,1,false,Medium,push,ADV-0212,2026-01-12
CUS-00046,Marcus,Ali,49,M,Other,south-yorkshire,WF1,Cleaning / facilities,37,Transport cost,1,false,Medium,push,ADV-0020,2026-03-19
CUS-00047,Liam,Taylor,28,M,Asian Pakistani,south-east-london,E15,Construction,48,Caring responsibilities;Mental health;Criminal record,3,false,High,push,ADV-0018,2025-12-09
CUS-00048,Faye,Begum,35,F,White British,south-yorkshire,DN4,Retail,12,Digital skills,1,false,High,push,ADV-0148,2026-02-03
CUS-00049,Connor,Patel,37,M,Black African,south-east-london,E13,Driving,27,,0,true,Low,push,ADV-0039,2025-09-08
CUS-00050,Bilal,Singh,44,M,White British,wales,CF24,Construction,18,,0,false,Low,push,ADV-0105,2026-03-06
CUS-00051,Kai,Patel,37,M,Other,south-yorkshire,S10,Security,55,Transport cost,1,false,Medium,sms,ADV-0159,2026-04-03
CUS-00052,Joy,Ofori,47,F,Asian Bangladeshi,south-east-london,E2,Warehouse / logistics,11,Confidence;Caring responsibilities;Physical health,3,false,Medium,push,ADV-0127,2025-11-30
CUS-00053,Maria,Knight,32,F,White British,wales,CF10,Manufacturing,16,Digital skills;Mental health,2,false,Medium,push,ADV-0064,2026-01-18
CUS-00054,Kwame,Davies,40,M,Mixed,south-yorkshire,WF1,Construction,21,,0,false,Medium,push,ADV-0218,2026-01-03
CUS-00055,Junior,Hollis,35,M,White British,south-east-london,SE15,Manufacturing,39,Confidence;Transport cost;Mental health,3,false,Low,call,ADV-0070,2025-12-13
CUS-00056,Aiden,Hussain,62,M,Other White,north-london,N17,Warehouse / logistics,8,Caring responsibilities;Housing instability,2,false,Medium,sms,ADV-0165,2026-05-11
CUS-00057,Joshua,Khan,31,M,Other White,south-east-london,SE1,Cleaning / facilities,50,Confidence,1,false,High,push,ADV-0039,2026-04-11
CUS-00058,Leah,Taylor,35,F,Other White,south-yorkshire,S1,Warehouse / logistics,10,Confidence,1,false,Medium,sms,ADV-0219,2025-10-19
CUS-00059,Tom,Patel,43,M,Asian Pakistani,wales,CF24,Care / health,43,Transport cost,1,false,Low,call,ADV-0079,2025-11-29
CUS-00060,Sean,Iwobi,53,M,White British,wales,SA1,Security,23,Transport cost,1,true,Medium,sms,ADV-0190,2025-11-26
CUS-00061,Ibrahim,Singh,39,M,White British,derbyshire-notts,NG1,Driving,25,Digital skills,1,false,High,push,ADV-0162,2025-10-07
CUS-00062,Aaron,Knight,41,M,Other White,derbyshire-notts,S81,Warehouse / logistics,40,Mental health,1,false,Medium,push,ADV-0128,2025-10-30
CUS-00063,Jamal,Roberts,52,M,Black Caribbean,south-east-london,SE1,Construction,33,Transport cost;Housing instability;English language,3,false,High,sms,ADV-0127,2026-03-02
CUS-00064,Bilal,Hollis,46,M,Black African,wales,CF24,Warehouse / logistics,12,Caring responsibilities;Digital skills;Transport cost,3,false,High,call,ADV-0047,2025-12-25
CUS-00065,Ellie,Carter,20,F,Asian Pakistani,north-london,N17,Driving,30,Confidence,1,false,High,push,ADV-0165,2025-12-13
CUS-00066,Ibrahim,Murphy,37,M,Mixed,south-east-london,E2,Construction,18,Childcare cost;English language;Transport cost,3,true,High,sms,ADV-0062,2025-10-11
CUS-00067,Demi,Ahmed,42,F,Black African,south-yorkshire,S1,Hospitality,41,,0,false,Medium,sms,ADV-0083,2026-01-19
CUS-00068,Daniel,Mensah,19,M,Asian Bangladeshi,north-london,NW3,Warehouse / logistics,38,Caring responsibilities;Digital skills,2,false,Medium,email,ADV-0053,2025-09-19
CUS-00069,Aisha,Roberts,42,F,White British,wales,NP19,Warehouse / logistics,38,Transport cost;Confidence,2,false,Medium,push,ADV-0153,2026-05-19
CUS-00070,Femi,Walker,34,M,Asian Indian,wales,SA1,Security,12,English language,1,false,Medium,push,ADV-0166,2025-12-14
CUS-00071,Femi,Roberts,30,M,White British,south-yorkshire,S10,Hospitality,46,Confidence;Mental health,2,false,Medium,email,ADV-0178,2026-04-29
CUS-00072,Demi,Hussain,43,F,Black Caribbean,south-yorkshire,S6,Hospitality,9,,0,false,Low,push,ADV-0034,2025-10-18
CUS-00073,Joshua,Knight,23,M,White British,derbyshire-notts,DE1,Manufacturing,20,Confidence,1,false,Medium,push,ADV-0152,2025-11-30
CUS-00074,Sade,Evans,39,F,Mixed,wales,CF24,Retail,16,Childcare cost;Transport cost,2,false,Medium,push,ADV-0190,2026-02-03
CUS-00075,Tracy,Ahmed,27,F,Black African,south-yorkshire,S10,Retail,28,Childcare cost;English language;Physical health,3,false,High,email,ADV-0081,2026-03-09
CUS-00076,Femi,Hussain,37,M,Mixed,wales,LL57,Admin / office,27,English language;Housing instability,2,false,Medium,sms,ADV-0177,2026-02-16
CUS-00077,Dylan,Evans,38,M,Mixed,south-yorkshire,S60,Hospitality,10,Childcare cost,1,false,Medium,sms,ADV-0083,2025-11-06
CUS-00078,Nasir,Adekoya,44,M,Asian Indian,south-yorkshire,S10,Hospitality,13,Digital skills;Housing instability;Criminal record;Physical health,4,false,Medium,sms,ADV-0219,2025-12-08
CUS-00079,Marcus,Murphy,47,M,White British,south-east-london,SE10,Admin / office,19,Caring responsibilities,1,false,Medium,push,ADV-0114,2025-12-14
CUS-00080,Tamika,Taylor,33,F,White British,south-east-london,E3,Warehouse / logistics,16,English language,1,false,Medium,email,ADV-0211,2026-02-05
CUS-00081,Sade,Begum,46,F,White British,wales,NP20,Security,32,Confidence;English language,2,false,Low,push,ADV-0161,2025-11-11
CUS-00082,Reece,Ahmed,44,M,White British,south-yorkshire,S10,Hospitality,20,Housing instability;Childcare cost;English language;Confidence,4,false,Medium,push,ADV-0051,2026-04-24
CUS-00083,Ashley,Jones,36,M,Asian Bangladeshi,south-yorkshire,S10,Hospitality,19,Confidence;Mental health;Caring responsibilities,3,true,Medium,email,ADV-0005,2026-05-15
CUS-00084,Femi,Hussain,31,M,White British,derbyshire-notts,S40,Warehouse / logistics,40,Criminal record,1,false,Medium,call,ADV-0002,2025-10-05
CUS-00085,Joy,Mensah,35,F,White British,wales,CF24,Care / health,36,Childcare cost,1,false,Low,call,ADV-0101,2026-01-09
CUS-00086,Reece,Brown,20,M,White British,derbyshire-notts,DE22,Retail,15,Confidence,1,true,Medium,sms,ADV-0002,2026-01-08
CUS-00087,Tom,Walker,54,M,Black African,wales,CF10,Construction,30,,0,false,High,email,ADV-0209,2026-01-13
CUS-00088,Tracy,O'Connor,50,F,White British,south-east-london,E2,Cleaning / facilities,49,Childcare cost;Confidence,2,true,High,sms,ADV-0004,2025-12-22
CUS-00089,Joel,Singh,49,M,White British,south-east-london,E20,Hospitality,19,Criminal record;Digital skills,2,true,Medium,push,ADV-0200,2025-11-20
CUS-00090,Folake,Begum,41,F,White British,wales,CF24,Care / health,10,Criminal record;Physical health,2,false,Medium,sms,ADV-0026,2025-09-06
CUS-00091,Faye,Begum,45,F,Other Asian,north-london,N17,Cleaning / facilities,28,,0,true,Medium,sms,ADV-0193,2026-02-03
CUS-00092,Aiden,Ali,23,M,Black African,south-east-london,E20,Cleaning / facilities,14,Housing instability,1,false,Medium,push,ADV-0065,2026-02-26
CUS-00093,Bilal,Patel,36,M,Asian Indian,wales,NP19,Warehouse / logistics,32,Digital skills;Housing instability,2,false,Medium,sms,ADV-0019,2026-02-16
CUS-00094,Connor,Roberts,40,M,Black African,south-east-london,E3,Retail,19,English language,1,false,Medium,push,ADV-0164,2025-10-09
CUS-00095,Priya,Begum,54,F,White British,wales,CF24,Care / health,15,Transport cost,1,false,Medium,sms,ADV-0208,2025-10-17
CUS-00096,Maria,Bailey,31,F,Asian Indian,wales,LL11,Warehouse / logistics,24,Mental health;Childcare cost;Digital skills,3,false,Low,call,ADV-0052,2025-12-08
CUS-00097,Aaron,Knight,39,M,White British,wales,SA1,Hospitality,12,Transport cost,1,false,Low,sms,ADV-0240,2026-02-23
CUS-00098,Tom,Singh,45,M,White British,wales,LL57,Driving,30,Mental health,1,true,High,email,ADV-0120,2026-04-11
CUS-00099,Ibrahim,Lewis,46,M,Mixed,north-london,HA1,Care / health,15,English language;Caring responsibilities,2,false,High,sms,ADV-0088,2025-09-22
CUS-00100,Ashley,Brown,37,M,Asian Indian,derbyshire-notts,DE1,Other,22,,0,false,Medium,email,ADV-0110,2026-04-01
CUS-00101,Amina,Evans,41,F,Asian Bangladeshi,derbyshire-notts,S81,Hospitality,24,Housing instability,1,false,High,call,ADV-0231,2026-01-07
CUS-00102,Sean,Lewis,52,M,White British,south-yorkshire,S60,Warehouse / logistics,33,Caring responsibilities,1,false,High,push,ADV-0172,2026-03-23
CUS-00103,Bilal,Bailey,38,M,Mixed,south-east-london,E20,Other,48,Criminal record;Childcare cost,2,false,High,push,ADV-0130,2026-03-27
CUS-00104,Bibi,Mahmood,39,F,Black Caribbean,derbyshire-notts,DE22,Retail,51,Transport cost;Mental health;Physical health,3,false,Medium,sms,ADV-0226,2025-12-20
CUS-00105,Mohammed,Williams,49,M,White British,south-east-london,E6,Driving,23,,0,false,Medium,push,ADV-0059,2026-02-01
CUS-00106,Theo,Ali,47,M,Black African,south-east-london,SE10,Retail,25,Caring responsibilities,1,true,Medium,sms,ADV-0087,2026-04-25
CUS-00107,Ryan,Adekoya,31,M,Black African,wales,LL57,Construction,35,Physical health;Criminal record;English language,3,false,Medium,email,ADV-0235,2025-09-13
CUS-00108,Ellie,Hollis,35,F,White British,wales,NP20,Admin / office,16,Confidence,1,false,Low,push,ADV-0177,2025-12-20
CUS-00109,Jamal,Carter,41,M,Asian Indian,derbyshire-notts,DE1,Hospitality,11,Physical health,1,false,Medium,sms,ADV-0226,2026-02-16
CUS-00110,Nasir,Patel,39,M,Black Caribbean,wales,NP19,Hospitality,23,Transport cost;Childcare cost;Criminal record,3,false,Medium,push,ADV-0167,2026-01-26
CUS-00111,Aisha,Williams,36,F,Asian Pakistani,wales,SA1,Hospitality,26,,0,false,High,push,ADV-0140,2026-05-01
CUS-00112,Damian,Singh,34,M,Other,south-east-london,SE10,Hospitality,21,Confidence;Housing instability,2,false,Low,sms,ADV-0164,2025-12-25
CUS-00113,Jamal,Mahmood,42,M,Other White,south-east-london,E20,Construction,41,,0,false,Medium,call,ADV-0036,2025-12-21
CUS-00114,Reece,Iwobi,36,M,Other Asian,south-east-london,SE15,Driving,33,Physical health,1,false,Low,email,ADV-0006,2025-09-12
CUS-00115,Reece,Iwobi,36,M,Asian Pakistani,south-yorkshire,S6,Security,38,Physical health,1,true,Low,sms,ADV-0009,2025-12-26
CUS-00116,Olu,Lewis,26,Other,White British,south-yorkshire,WF1,Hospitality,12,,0,false,High,push,ADV-0081,2025-10-27
CUS-00117,Demi,Mensah,30,F,Black African,south-east-london,SE10,Warehouse / logistics,24,Caring responsibilities;Criminal record;English language;Confidence,4,false,High,push,ADV-0246,2025-10-19
CUS-00118,Sean,Mahmood,47,M,White British,south-east-london,E3,Other,12,Criminal record;Transport cost,2,false,Low,push,ADV-0062,2025-11-23
CUS-00119,Tyrese,Iwobi,37,M,White British,south-yorkshire,WF1,Warehouse / logistics,12,Digital skills;Criminal record;Transport cost,3,false,High,sms,ADV-0009,2025-10-21
CUS-00120,Halima,Taylor,45,F,Black African,south-yorkshire,DN1,Security,29,Mental health,1,false,Medium,push,ADV-0159,2026-01-28
CUS-00121,Ibrahim,Davies,53,M,Asian Indian,wales,CF10,Care / health,25,Mental health;Confidence,2,false,Low,push,ADV-0055,2026-01-05
CUS-00122,Megan,Lewis,33,Other,White British,north-london,NW3,Retail,36,Transport cost,1,false,Low,sms,ADV-0154,2025-10-23
CUS-00123,Kai,Iwobi,55,M,Asian Bangladeshi,south-yorkshire,S6,Warehouse / logistics,40,Mental health;Confidence,2,true,Low,email,ADV-0171,2026-04-05
CUS-00124,Tracy,Ali,24,F,Black Caribbean,south-east-london,SE15,Hospitality,32,Confidence;Caring responsibilities;Digital skills,3,false,Medium,push,ADV-0232,2026-04-03
CUS-00125,Jamal,O'Connor,36,M,White British,wales,LL11,Driving,20,Digital skills;Mental health;English language,3,false,Medium,call,ADV-0109,2026-02-11
CUS-00126,Theo,Lewis,40,M,White British,north-london,NW1,Warehouse / logistics,36,Confidence;Childcare cost,2,false,High,call,ADV-0097,2026-02-03
CUS-00127,Junior,Akin,47,M,Asian Bangladeshi,south-yorkshire,S60,Care / health,8,,0,false,Medium,sms,ADV-0220,2026-04-23
CUS-00128,Sean,Adekoya,40,M,Black African,wales,CF24,Construction,37,,0,false,Low,sms,ADV-0140,2026-03-02
CUS-00129,Junior,Lewis,47,M,White British,north-london,NW3,Other,29,,0,false,High,sms,ADV-0022,2026-04-18
CUS-00130,Joshua,Hussain,49,M,Black Caribbean,derbyshire-notts,DE1,Care / health,10,,0,true,Low,sms,ADV-0048,2026-01-29
CUS-00131,Sean,Lewis,29,M,White British,south-yorkshire,DN4,Warehouse / logistics,15,English language;Caring responsibilities,2,true,Medium,call,ADV-0125,2026-02-16
CUS-00132,Kelly,Khan,29,F,White British,south-east-london,E2,Construction,39,,0,false,Medium,sms,ADV-0015,2025-12-17
CUS-00133,Megan,Patel,46,F,Black African,south-east-london,E20,Admin / office,42,Criminal record,1,false,High,email,ADV-0115,2026-02-09
CUS-00134,Yusuf,Evans,47,M,Other White,derbyshire-notts,NG18,Care / health,43,Housing instability,1,false,Medium,email,ADV-0230,2025-09-24
CUS-00135,Sade,Ali,33,F,Mixed,north-london,NW3,Security,9,Housing instability;Childcare cost,2,false,Medium,push,ADV-0024,2026-05-04
CUS-00136,Lola,Lewis,32,F,Black African,derbyshire-notts,NG1,Admin / office,11,Transport cost,1,false,Low,push,ADV-0091,2026-03-24
CUS-00137,Reece,Mensah,41,M,White British,derbyshire-notts,NG18,Warehouse / logistics,10,Transport cost,1,false,Medium,email,ADV-0158,2026-02-14
CUS-00138,Junior,Knight,48,M,White British,south-yorkshire,S6,Cleaning / facilities,22,Caring responsibilities,1,false,Medium,sms,ADV-0149,2026-05-05
CUS-00139,Ashley,Ahmed,31,M,White British,south-east-london,E6,Care / health,37,Physical health,1,false,Medium,sms,ADV-0018,2026-01-25
CUS-00140,Marcus,Ofori,41,M,White British,derbyshire-notts,DE22,Care / health,10,Physical health,1,false,High,email,ADV-0075,2026-01-12
CUS-00141,Junior,Taylor,37,M,Black Caribbean,south-yorkshire,DN1,Hospitality,41,Caring responsibilities;Criminal record,2,false,Medium,call,ADV-0005,2026-03-08
CUS-00142,Megan,Evans,51,F,Black Caribbean,north-london,UB1,Other,15,Physical health,1,false,Medium,sms,ADV-0073,2025-10-15
CUS-00143,Connor,Khan,44,M,Mixed,south-east-london,SE1,Construction,18,Confidence,1,true,Medium,push,ADV-0146,2026-04-09
CUS-00144,Yusuf,Khan,22,M,White British,south-east-london,E13,Care / health,28,,0,false,Low,push,ADV-0188,2025-11-03
CUS-00145,Damian,Jones,32,M,Asian Pakistani,north-london,NW10,Warehouse / logistics,37,Criminal record;Confidence,2,false,Medium,email,ADV-0168,2026-05-18
CUS-00146,Marcus,Roberts,42,M,White British,south-east-london,E13,Hospitality,20,English language,1,false,High,sms,ADV-0185,2026-03-06
CUS-00147,Aiden,Taylor,38,M,Black African,south-east-london,E6,Driving,42,Housing instability;Criminal record,2,true,Medium,push,ADV-0041,2025-11-15
CUS-00148,Aaron,Taylor,37,M,White British,north-london,NW10,Hospitality,54,Confidence;Physical health,2,true,Medium,push,ADV-0021,2026-03-13
CUS-00149,Marcus,Ali,43,M,White British,south-yorkshire,LS9,Admin / office,32,,0,false,Medium,sms,ADV-0172,2026-04-25
CUS-00150,Demi,Carter,47,F,White British,south-yorkshire,S10,Construction,15,Digital skills;Physical health,2,false,Medium,call,ADV-0138,2025-11-25
CUS-00151,Sade,Khan,49,F,Mixed,south-east-london,E2,Cleaning / facilities,42,,0,false,Low,email,ADV-0192,2026-03-12
CUS-00152,Lola,Singh,37,F,Asian Pakistani,south-east-london,E3,Construction,23,Childcare cost,1,true,High,email,ADV-0123,2025-09-26
CUS-00153,Aiden,Carter,30,M,Other,wales,NP19,Warehouse / logistics,13,Confidence;Criminal record;Digital skills,3,false,Medium,call,ADV-0045,2026-01-15
CUS-00154,Joshua,Knight,43,M,White British,derbyshire-notts,DE22,Manufacturing,29,Housing instability,1,false,Medium,push,ADV-0037,2025-10-27
CUS-00155,Mohammed,Okafor,41,M,White British,wales,LL57,Care / health,14,Housing instability;Criminal record,2,false,High,push,ADV-0101,2025-09-11
CUS-00156,Femi,Taylor,35,M,Other White,south-east-london,SE1,Manufacturing,26,Housing instability,1,true,Low,sms,ADV-0062,2025-12-06
CUS-00157,Dylan,Ali,32,M,Mixed,south-yorkshire,DN4,Cleaning / facilities,26,English language,1,false,Medium,push,ADV-0138,2026-05-15
CUS-00158,Tom,Okafor,32,M,White British,south-yorkshire,DN1,Hospitality,24,Caring responsibilities,1,false,Low,sms,ADV-0219,2025-09-12
CUS-00159,Femi,Bailey,59,M,Black Caribbean,south-east-london,E6,Manufacturing,35,Caring responsibilities,1,false,High,call,ADV-0123,2026-01-25
CUS-00160,Mohammed,Begum,40,M,Asian Bangladeshi,south-yorkshire,LS9,Warehouse / logistics,22,Digital skills,1,false,High,sms,ADV-0133,2025-09-30
CUS-00161,Maria,Taylor,31,F,White British,derbyshire-notts,DE22,Care / health,9,Criminal record;Confidence;Mental health,3,false,High,sms,ADV-0002,2025-09-02
CUS-00162,Sade,Davies,43,F,Black African,south-east-london,E3,Other,12,,0,true,Medium,email,ADV-0084,2025-11-28
CUS-00163,Sade,Roberts,24,F,Other White,wales,NP19,Admin / office,20,,0,false,Medium,push,ADV-0052,2026-01-10
CUS-00164,Aiden,Adekoya,23,M,Black African,south-yorkshire,LS9,Manufacturing,13,Housing instability;Transport cost,2,true,Low,email,ADV-0131,2025-10-08
CUS-00165,Mohammed,Hussain,41,M,Other,derbyshire-notts,NG18,Driving,26,,0,false,High,push,ADV-0132,2025-10-03
CUS-00166,Joy,Ofori,46,F,White British,south-east-london,E15,Other,18,,0,false,High,sms,ADV-0003,2026-01-27
CUS-00167,Tom,Walker,45,M,Asian Pakistani,wales,NP19,Hospitality,16,Transport cost;Digital skills;Criminal record;Physical health,4,false,Low,sms,ADV-0166,2025-10-08
CUS-00168,Reece,Begum,42,M,Black African,south-east-london,E13,Care / health,31,Criminal record,1,true,High,email,ADV-0210,2026-03-29
CUS-00169,Aiden,Begum,39,M,Asian Pakistani,south-yorkshire,S1,Care / health,18,Childcare cost;Caring responsibilities;Digital skills,3,true,Low,call,ADV-0171,2025-09-05
CUS-00170,Marcus,Evans,45,M,Black Caribbean,north-london,HA9,Warehouse / logistics,17,Housing instability,1,false,High,sms,ADV-0215,2025-12-05
CUS-00171,Naomi,Patel,37,F,Black African,south-yorkshire,S10,Manufacturing,10,Criminal record,1,false,Medium,sms,ADV-0133,2025-11-01
CUS-00172,Kwame,Murphy,39,M,Black African,wales,NP20,Construction,38,Housing instability,1,false,Low,call,ADV-0052,2026-03-04
CUS-00173,Yvonne,Patel,29,F,Asian Pakistani,wales,LL57,Retail,15,Digital skills;Housing instability,2,false,Medium,sms,ADV-0208,2025-11-12
CUS-00174,Joshua,Begum,40,M,White British,south-east-london,E20,Warehouse / logistics,15,Housing instability;Digital skills,2,false,Medium,sms,ADV-0223,2026-03-11
CUS-00175,Bilal,Jones,49,M,White British,wales,LL57,Manufacturing,16,,0,false,Low,push,ADV-0177,2025-11-05
CUS-00176,Sarah,O'Connor,54,F,Asian Indian,derbyshire-notts,NG1,Retail,32,Digital skills;Physical health,2,true,Medium,email,ADV-0056,2025-12-10
CUS-00177,Connor,Bailey,41,M,Black African,derbyshire-notts,S81,Construction,11,Caring responsibilities,1,false,Medium,sms,ADV-0231,2025-12-15
CUS-00178,Junior,Patel,41,M,White British,wales,NP19,Hospitality,22,Caring responsibilities;Mental health;Confidence,3,true,Medium,email,ADV-0235,2026-05-02
CUS-00179,Aiden,Adekoya,37,M,White British,derbyshire-notts,S40,Warehouse / logistics,11,Criminal record,1,false,Medium,push,ADV-0102,2025-11-06
CUS-00180,Ashley,Bailey,31,Other,Other Asian,wales,CF24,Warehouse / logistics,49,English language;Criminal record,2,true,Low,sms,ADV-0063,2025-12-04
CUS-00181,Joel,Adekoya,54,M,Black African,wales,CF24,Admin / office,15,Digital skills,1,false,Low,push,ADV-0238,2026-05-05
CUS-00182,Callum,Iwobi,30,M,White British,wales,NP20,Retail,29,,0,false,Medium,sms,ADV-0244,2026-04-29
CUS-00183,Sean,Ali,49,M,White British,north-london,NW10,Hospitality,41,Confidence;Transport cost,2,false,High,push,ADV-0024,2026-05-03
